PROPLetter,PROPTitle,Month,Day,Year,Date,Description,PASS_FAIL,Vote_Counts_Yes,Vote_Counts_No,Percent_Vote_Yes,Percent_Vote_No,Percent_Required_To_Pass,Kind,HowPlaced,Voter_Information_Pamphlet
1,Bonds issued for acquisition of public utilities,November,5,1907,11/05/1907 12:00:00 AM,"Setting forth a proposal relating to bonds issued for the acquisition of public utilities, the registration thereof, and the levy of taxes to provide for the interest thereon and a sinking fund, and to bonds issued for the acquisition of land and the construction or acquisition of any permanent building or buildings, improvement or improvements.",P,23257,4637,0.83,0.17,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
2,Recall of Elected Officials,November,5,1907,11/05/1907 12:00:00 AM,The holder of any elective office may be removed at any time by the electors qualified to vote for a successor of each incumbent. A petition must be filed with the Board of Election Commissioners with signatures equal to 30% (percent) of registered voters and must contain a general statement of the grounds for which the removal is sought.,P,22945,5579,0.8,0.2,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
3,Apportionment of Fund Revenue; Interest on Bonded Indebtedness; Sinking Funds,November,5,1907,11/05/1907 12:00:00 AM,Relating to the apportionment of the income and revenue of funds and a provision for income to pay interest on the bonded indebtedness and provide for the sinking funds. The sinking funds shall always be provided for out of the tax on property.,P,21000,5809,0.78,0.22,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
4,Responsibility of treasurer for public funds,November,5,1907,11/05/1907 12:00:00 AM,Relating to the custody by the Treasurer of public funds and authorizing their deposit in certain banks upon certain terms and conditions.  Treasurer shall receive and safely keep all moneys which shall be paid into the Treasury.,P,22425,5285,0.81,0.19,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
5,"Board of Public Works; Contracts, Bonds and Payments",November,5,1907,11/05/1907 12:00:00 AM,"Relating to contracts entered into by the Board of Public Works, and bonds to be given in connection with the same, permitting progressive payments to be provided upon certain terms and conditions. All contracts shall be drawn under the supervision of the City Attorney.",P,20527,7039,0.74,0.26,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
6,Officers of City to be Bonded,November,5,1907,11/05/1907 12:00:00 AM,Officers shall respectively execute official bonds to the City and County.,P,21970,4495,0.83,0.17,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
7,Board of Supervisors' Appropriation for Urgent Necessities,November,5,1907,11/05/1907 12:00:00 AM,"Relating to the appropriation of $100,000 a year by the supervisors for urgent necessities not otherwise provided for by law.",P,20961,5358,0.8,0.2,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
8,Composition of Members of Fire Department; Salaries and Vacations,November,5,1907,11/05/1907 12:00:00 AM,Relative to the composition of the personnel of the companies of the Fire Department and the salaries and vacations of the members.,P,35017,8347,0.81,0.19,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
9,Taxes or Bonded Indebtedness; Acquisition of Public Utilities,November,5,1907,11/05/1907 12:00:00 AM,"The City shall have the power to acquire, construct or complete any public utility from funds derived from taxes levied for that purpose, or from funds derived from the sale of bonds issued for that purpose and may operate, maintain, sell or lease any public utility subject to the provisions of this Charter.",P,20861,5858,0.78,0.22,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
10,Sale of City-Owned Lands; Future Land Acquisitions,November,5,1907,11/05/1907 12:00:00 AM,"City and County of San Francisco to have power to sell all lands owned by the City and County between Ninth street and Eighteenth street, formerly Mission Creek, and any and all future acquisitions, excepting lands for parks, squares and children's playgrounds.",P,15023,10573,0.59,0.41,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
11,Changes to Street Grades,November,5,1907,11/05/1907 12:00:00 AM,Relating to the changes or modifications of street grades and the performance of street work in connection therewith.,P,18499,7774,0.7,0.3,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
12,"Opening, Closing, Widening, Straightening, and Extending of Streets",November,5,1907,11/05/1907 12:00:00 AM,"Relating to the opening, extending, widening, straightening or closing up of streets and the performance of street work in connection therewith, and the condemnation and acquisition of land and property necessary therefor.",P,18501,8109,0.7,0.31,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
13,Liability for Damages against the City and its Officials,November,5,1907,11/05/1907 12:00:00 AM,"No recourse shall be had against the City for damage or loss to person or property due to the defective condition, or lack of repair, of any sidewalk, street, avenue, lane, alley, court, place or sewer.",P,19817,6605,0.75,0.25,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
14,Leasing of Real Property of School Department,November,5,1907,11/05/1907 12:00:00 AM,"To lease to the highest responsible bidder, for the benefit of the Common School Fund and for a term not exceeding thirty-five years, any real property of the School Department not required for school purposes.",P,20451,5707,0.78,0.22,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
15,Board of Supervisors; Power to grant permits for spur tracks,November,5,1907,11/05/1907 12:00:00 AM,"To permit spur tracks for industrial purposes only, for purpose of connecting warehouses, manufactories, or other business industries and enterprises with the Belt Line of railroads along the water front or other lines of railroad.",P,20501,11504,0.64,0.36,50%+1,Charter Amendment,Supervisors,https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf
5,"Potrero Public Park Bond Issue, $400,000",June,22,1909,06/22/1909 12:00:00 AM,"To incur a bonded indebtedness of $400,000 for the acquisition of land in the Potrero neighborhood near Kansas, 20th and Connecticut for the construction of a public park.",F,14243,8941,0.61,0.39,66 2/3%,Bond Issue,Supervisors,
